GMA qualification,mean,median,min,max
Basic or Advanced,57.29166666666667,54.16666666666667,25.0,83.33333333333334
None,52.77777777777778,50.0,41.66666666666667,66.66666666666666
Tutor,85.71428571428571,91.66666666666666,66.66666666666666,91.66666666666666
