,Accuracy,Accuracy,Accuracy,Accuracy,Confidence,Confidence,Confidence,Confidence
,mean,median,min,max,mean,median,min,max
GMA qualification,,,,,,,,
None,52.77777777777778,50.0,41.66666666666667,66.66666666666666,1.6666666666666667,1.7083333333333335,1.0833333333333333,2.25
Basic or Advanced,57.29166666666667,54.16666666666667,25.0,83.33333333333334,1.9642857142857142,2.0833333333333335,1.25,2.3333333333333335
Tutor,85.71428571428571,91.66666666666666,66.66666666666666,91.66666666666666,1.8906926406926405,1.8181818181818181,1.3333333333333333,2.75
All participants,65.47619047619048,66.66666666666666,25.0,91.66666666666666,1.8492424242424241,1.9090909090909092,1.0833333333333333,2.75
