,Video,All participants_accuracy_pc,"label (0 = FM-, 1= FM+)"
0,1,66.66666666666666,0
1,2,23.809523809523807,0
2,3,85.71428571428571,1
3,4,57.14285714285714,1
4,5,57.14285714285714,1
5,6,47.61904761904761,0
6,7,52.38095238095239,1
7,8,95.23809523809523,0
8,9,76.19047619047619,0
9,10,76.19047619047619,1
10,11,76.19047619047619,1
11,12,71.42857142857143,0
